company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
Entain,Data Analyst - MarTech,Associate,1,0,1,0,0,0,1,0,0,0,0,1,0,aus
Perigon Group,Data Analyst,Associate,0,0,0,0,0,0,1,0,0,0,0,1,0,aus
SustainAbility Consulting,Data Analyst,Entry level,1,1,0,0,0,0,1,0,0,0,0,1,0,aus
SustainAbility Consulting,Data Analyst,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,aus
Wayfaring,BI Data Analyst,Associate,1,1,1,0,0,0,1,0,0,0,0,1,0,aus
JJO Pentester Enterprise,Data Analyst,Entry level,1,0,0,0,0,0,0,0,0,0,0,1,0,aus
Humanity,Senior Data Analyst,Associate,1,0,0,0,0,1,0,0,0,0,0,1,0,aus
460degrees,Data Analyst - Banking & Finance,Mid-Senior level,1,1,1,1,0,0,1,0,0,0,1,1,0,aus
FoodByUs,Data Analyst,Mid-Senior level,1,0,1,0,0,1,0,0,0,0,0,1,0,aus
ADACT Medical Ltd,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,aus
Workforce Australia for Individuals,Data Analyst,Entry level,1,0,0,0,0,0,0,0,0,0,0,1,0,aus
1300TempFence,Data Analyst,Not Applicable,0,0,1,0,0,0,1,0,0,0,0,1,0,aus
Beyond Zero Technologies,Data Analyst,Associate,1,1,1,0,0,1,1,0,0,0,0,1,0,aus
ANZ,Data Analyst - Simplification,Not Applicable,1,0,1,0,0,0,0,0,0,0,0,1,0,aus
ANZ,Data Analyst - ANZ Plus,Not Applicable,1,0,0,0,0,1,0,0,0,0,0,1,0,aus
Uniting,PowerBi Data and Insights Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,aus
Bridge IT Engineering,Data Analysts and Data Engineers,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,aus
Naviro,Data Quality Analyst,Mid-Senior level,0,1,0,0,0,0,0,0,0,0,0,1,0,aus
NSW Health,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,aus
Softtest Pays,Data Analyst,Entry level,0,0,1,0,0,0,1,0,0,0,0,1,0,aus
Launch Recruitment,Data Analyst,Entry level,0,0,0,0,0,0,1,0,0,0,0,1,0,aus
Firesoft People,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,aus
Advance Thinking,Data Analyst,Mid-Senior level,1,1,1,1,0,0,1,0,0,1,0,1,0,aus
Terra Firma Business Consulting,"Business Data Analyst - Power BI, Tableau",Mid-Senior level,1,0,0,0,0,1,1,0,0,0,0,1,0,aus
Workforce Australia for Individuals,Data Analyst,Entry level,1,1,1,0,0,1,1,0,0,0,0,1,0,aus
Jobs via eFinancialCareers,Data Analyst,Entry level,1,1,1,0,0,1,1,0,0,0,0,1,0,aus
Mane Consulting,Insights Analyst,Entry level,0,1,0,0,0,1,0,0,0,0,1,1,0,aus
Domain,HR Systems and Data Analyst,Mid-Senior level,0,0,0,0,0,1,0,0,0,0,0,1,0,aus
Team Global Express,Data Analyst - Inventory,Mid-Senior level,0,0,1,0,0,0,0,0,0,0,0,1,0,aus
CYOS Solutions,Data Analyst,Entry level,0,0,0,0,0,0,0,0,0,0,0,1,0,aus
PACCAR Australia,Dealership Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,aus
Softtest Pays,Data Analyst Data Engineer  senior data analyst senior data engineer,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,aus
