company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
Talent,Data Analyst,Mid-Senior level,1,1,0,0,0,0,0,0,0,0,0,1,0,ger
Allianz Partners,Data Analyst,Not Applicable,1,1,1,1,0,0,0,0,0,0,0,1,0,ger
Gravitas Recruitment Group (Global) Ltd,Data Analyst,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,ger
Beyond Fossil Fuels,Junior Data Analyst | Remote working from any European location,Mid-Senior level,0,1,0,0,0,0,0,0,0,0,1,1,0,ger
BMG - The New Music Company,Data Analyst (f/m/d),Entry level,1,1,1,0,0,1,1,0,0,0,1,1,0,ger
The Information Lab Deutschland,Data Analyst - The Data School Deutschland,"Employment type
        

          Full-time",0,0,0,0,0,1,0,0,0,0,0,1,0,ger
KOSATEC Computer GmbH,Data Analyst (m/w/d),Associate,1,1,0,1,0,1,0,0,0,0,0,1,0,ger
Venturi,Senior Data Analyst (m/w/d),Mid-Senior level,1,0,0,0,0,0,0,0,0,0,1,1,0,ger
suena,Full-Time Data Analyst (f/m/x),Entry level,0,1,0,0,0,0,0,0,0,0,1,1,0,ger
kevin.,Data Analyst,Mid-Senior level,1,0,0,0,0,1,1,0,0,0,0,1,0,ger
Orizon,Data Analyst for AIRBUS (m/f/d),Mid-Senior level,0,0,1,0,0,0,0,0,0,0,0,1,0,ger
roadsurfer,Experienced Data Analyst (m/f/d),Mid-Senior level,1,1,0,0,0,0,1,0,0,0,0,1,0,ger
HOYER,Data Analyst (m/w/d),Entry level,0,0,0,0,0,0,0,0,0,0,0,1,0,ger
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/f/d),Entry level,0,0,0,0,0,0,0,0,0,0,1,1,0,ger
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/f/d),Entry level,0,0,0,0,0,0,0,0,0,0,1,1,0,ger
SOFTGAMES,Game Data Analyst (fully remote),Mid-Senior level,1,1,1,0,0,1,0,0,0,0,1,1,0,ger
fraud0.com,Data Analyst / Scientist (m/f/d),Mid-Senior level,0,0,1,0,0,0,0,0,0,1,0,1,0,ger
PALTRON,(Junior) Data Analyst / Engineer (m/f/d),Entry level,1,0,0,0,0,0,1,0,0,0,0,1,0,ger
CBTW,Data Analyst (M/W/D),Entry level,0,0,0,1,0,1,1,0,0,0,1,1,0,ger
ropa carrier solutions,Data Analyst (m/w/d),Entry level,1,1,0,0,0,0,0,0,0,0,0,1,0,ger
suena,Part-Time Data Analyst (f/m/x),Entry level,0,1,0,0,0,0,0,0,0,0,1,1,0,ger
Randstad,Data Analyst (m/w/d),Entry level,0,1,1,0,0,0,0,0,0,1,0,1,0,ger
FINN,(Senior) Data Analyst,Mid-Senior level,1,1,0,1,0,1,0,0,0,1,0,1,0,ger
ODW-ELEKTRIK,Data Analyst (m/w/d),Entry level,0,0,0,0,0,0,0,0,0,0,1,1,0,ger
Wolt,Senior Data Analyst (Consumer),Mid-Senior level,1,1,0,1,1,1,0,1,0,1,1,1,0,ger
Allianz Partners,Data Analyst,Not Applicable,1,1,1,1,0,0,0,0,0,0,0,1,0,ger
Gravitas Recruitment Group (Global) Ltd,Data Analyst,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,ger
Beyond Fossil Fuels,Junior Data Analyst | Remote working from any European location,Mid-Senior level,0,1,0,0,0,0,0,0,0,0,1,1,0,ger
BMG - The New Music Company,Data Analyst (f/m/d),Entry level,1,1,1,0,0,1,1,0,0,0,1,1,0,ger
The Information Lab Deutschland,Data Analyst - The Data School Deutschland,"Employment type
        

          Full-time",0,0,0,0,0,1,0,0,0,0,0,1,0,ger
KOSATEC Computer GmbH,Data Analyst (m/w/d),Associate,1,1,0,1,0,1,0,0,0,0,0,1,0,ger
Venturi,Senior Data Analyst (m/w/d),Mid-Senior level,1,0,0,0,0,0,0,0,0,0,1,1,0,ger
suena,Full-Time Data Analyst (f/m/x),Entry level,0,1,0,0,0,0,0,0,0,0,1,1,0,ger
kevin.,Data Analyst,Mid-Senior level,1,0,0,0,0,1,1,0,0,0,0,1,0,ger
Orizon,Data Analyst for AIRBUS (m/f/d),Mid-Senior level,0,0,1,0,0,0,0,0,0,0,0,1,0,ger
roadsurfer,Experienced Data Analyst (m/f/d),Mid-Senior level,1,1,0,0,0,0,1,0,0,0,0,1,0,ger
HOYER,Data Analyst (m/w/d),Entry level,0,0,0,0,0,0,0,0,0,0,0,1,0,ger
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/f/d),Entry level,0,0,0,0,0,0,0,0,0,0,1,1,0,ger
PARTS EUROPE - We Support The Sport®!,Data Analyst (m/f/d),Entry level,0,0,0,0,0,0,0,0,0,0,1,1,0,ger
