company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
TechBiz Global,Data Scientist,Not Applicable,1,1,0,0,0,0,0,0,0,1,0,0,1,ger
Enter,Data Scientist (f/m/d),Mid-Senior level,1,1,0,0,0,0,0,0,0,1,0,0,1,ger
Meshcapade,Machine Learning Engineer - Intern (x/f/m) Germany - Remote or Hybrid,Internship,0,0,0,0,0,0,0,1,0,1,1,0,1,ger
Sunday,Data Scientist (m/f/d),Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,ger
Aignostics,Data Scientist (f/m/d),Entry level,0,1,1,0,0,0,0,0,0,1,0,0,1,ger
kineo.ai,Machine Learning Scientist (f/m/d),Entry level,0,1,1,0,0,0,0,1,0,1,0,0,1,ger
European Centre for Medium-Range Weather Forecasts,Scientist/Engineer for Machine Learning (multiple vacancies),Mid-Senior level,0,1,0,0,0,0,0,1,0,1,1,0,1,ger
wattx,AI / Machine Learning Engineer (f/m/d),Entry level,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
Datasumi,Data Scientist Experienced in Generative AI,Mid-Senior level,0,1,1,0,1,0,0,0,0,1,0,0,1,ger
Datasumi,Data Scientist Experienced in Generative AI,Mid-Senior level,0,1,1,0,1,0,0,0,0,1,0,0,1,ger
Enjins,Senior Machine Learning Engineer (Berlin),Mid-Senior level,1,1,0,0,0,0,0,1,0,1,0,0,1,ger
Apiax,Data Scientist,Entry level,0,1,1,0,0,0,0,0,0,1,0,0,1,ger
CBTW,ML Engineer (M/W/D),Entry level,0,0,0,0,0,0,0,0,0,1,1,0,1,ger
Global Market Solutions GmbH ,Data Scientist (m/w/d),Entry level,0,1,0,0,1,0,0,0,0,1,0,0,1,ger
Neural Concept,Machine Learning Application Engineer,Entry level,0,1,1,0,0,0,0,1,0,1,0,0,1,ger
Bosch,Research Scientist or Engineer for AI Validation (f/m/div.),Associate,0,1,1,0,0,0,0,1,0,1,1,0,1,ger
Machine Learning Reply GmbH,Machine Learning Engineer (m/f/d),Mid-Senior level,1,1,1,0,0,0,0,1,0,1,1,0,1,ger
super.AI,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,ger
alcemy,Senior Machine Learning Engineer,Mid-Senior level,1,1,1,0,0,0,0,1,0,1,1,0,1,ger
