company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
AndHealth,Senior Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Fenway Health,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Gridium,Data Analyst (Implementation Specialist),Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
BLAZESOFT,Game Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Motion Recruitment Partners LLC,Data Analyst / Python / 100% Remote /,Entry level,1,1,1,0,0,0,0,0,0,0,1,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Infinite Computer Solutions,Data Analyst,Entry level,0,0,0,0,0,0,0,0,0,0,0,1,0,us
"LanceSoft, Inc.",Business Data Analyst,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,us
BlueFlag LLP,Senior Data Analyst,Mid-Senior level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
TickPick,Data Analyst,Entry level,1,1,0,0,0,1,0,0,0,0,1,1,0,us
Lockheed Martin,Intelligence Analyst,Mid-Senior level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
Braintrust,Data Analyst - Freelance [Remote],Mid-Senior level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Lorven Technologies Inc.,Data Analyst,Mid-Senior level,1,1,0,0,0,0,0,0,0,0,0,1,0,us
Accede Solutions Inc (accedesol.com),Data Analyst (OR Optimization),Entry level,0,0,0,0,0,0,0,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Mid-Senior level,1,0,0,0,0,0,0,0,0,0,0,1,0,us
Braintrust,Data Analyst - Freelance [Remote],Mid-Senior level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
AscellaHealth,Senior Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
Braintrust,Data Analyst - Freelance [Remote],Mid-Senior level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Braintrust,Data Analyst - Freelance [Remote],Mid-Senior level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
HANYS,Data Analyst,Entry level,1,0,0,0,0,1,0,0,0,0,1,1,0,us
Ameritech,Data Analysis Administrative Support,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
VARITE INC,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Affinity,Data Analyst,Mid-Senior level,1,1,0,0,1,0,0,0,0,0,0,1,0,us
Zealogics Inc,Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Techno Staffing,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Mb Staffing Services LLC,Data Analyst Healthcare,Entry level,0,0,0,0,0,1,0,0,0,0,0,1,0,us
Agile Tech Labs,Data Analyst,Entry level,1,1,1,0,0,1,1,0,0,0,1,1,0,us
AccumTech,SQL Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Ghost,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
New York State Department of Civil Service,Data Analyst 1,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Techno Staffing,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Mb Staffing Services LLC,Data Analyst Healthcare,Entry level,0,0,0,0,0,1,0,0,0,0,0,1,0,us
Agile Tech Labs,Data Analyst,Entry level,1,1,1,0,0,1,1,0,0,0,1,1,0,us
AccumTech,SQL Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
WinMax,Data Analyst III,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,us
Agile Tech Labs,Data Analyst,Entry level,1,1,1,0,0,1,1,0,0,0,1,1,0,us
AccumTech,SQL Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Techno Staffing,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
Ghost,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Analyst - US/Canada,Entry level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
AccumTech,SQL Data Analyst,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Techno Staffing,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
Ghost,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Analyst - US/Canada,Entry level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
WinMax,Data Analyst III,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
"Anveta, Inc",Data Analyst   (W2 job opportunity),Entry level,1,1,0,1,0,0,0,0,0,0,0,1,0,us
Oak Street Health,"Analyst II, Data (Data Analyst)",Entry level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Experfy,Data Analyst - QA Tester,Mid-Senior level,1,0,1,0,0,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
WinMax,Data Analyst III,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,us
Wood Mackenzie,Data Analyst,Associate,1,1,1,0,0,0,0,0,0,0,0,1,0,us
VRK IT Vision Inc.,Data Analyst Associate,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Data Analyst //Pay rate: $36.74/hr,Entry level,0,0,0,0,0,1,0,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Mid-Senior level,1,0,0,0,0,0,0,0,0,0,0,1,0,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Data Analyst (Entry Level),Entry level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Stellar Professionals,Data analyst// Pay rate: $43.20/hr,Mid-Senior level,1,0,0,0,0,1,1,0,0,0,0,1,0,us
Digital@FEMSA,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,0,1,0,us
Stellar Professionals,Data Analyst //Pay rate: $43.35/hr,Mid-Senior level,1,1,1,1,0,1,0,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst (366),Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Perpay Inc.,Junior Data Analyst,Entry level,1,1,0,0,0,1,1,0,0,0,1,1,0,us
Carbon Direct,Data Analyst,Entry level,1,1,1,1,0,1,0,0,0,1,1,1,0,us
Rose International,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,1,1,0,us
HelioCampus,Data Analyst,Entry level,1,1,0,0,1,1,1,0,0,0,1,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Centeva,Data Analyst (Junior and Senior),Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Ghost,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
New York State Department of Civil Service,Data Analyst 1,Mid-Senior level,0,0,0,0,0,0,0,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
WinMax,Data Analyst III,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,us
Wood Mackenzie,Data Analyst,Associate,1,1,1,0,0,0,0,0,0,0,0,1,0,us
VRK IT Vision Inc.,Data Analyst Associate,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Sunbird Software,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
ESPO Corporation,Data Analyst,Entry level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
KG Invicta Services (KGiS),Data Analyst,Entry level,0,0,1,1,0,1,0,0,0,1,1,1,0,us
Ghost,Data Analyst,Entry level,1,0,1,0,0,1,0,0,0,0,0,1,0,us
Center for Justice Innovation,Data Analyst,Mid-Senior level,1,1,1,0,0,1,1,0,0,0,0,1,0,us
Steneral Consulting,Data Analyst || Remote,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
thredUP,Data Analyst,Entry level,1,1,1,0,1,1,0,0,0,0,1,1,0,us
Trioworld,Jr. Data Analyst / Full-time (Remote),Entry level,1,0,0,0,0,0,0,0,0,0,1,1,0,us
BALANCE,Data Analyst (Remote),Entry level,1,0,1,0,0,0,1,0,0,0,1,1,0,us
NTT DATA,Data Analyst (A),Mid-Senior level,1,0,0,0,0,1,0,0,0,0,0,1,0,us
Gersh Autism,Data Analyst,Associate,1,1,1,0,1,1,1,0,0,0,0,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Infinia Search,Data Analyst,Entry level,0,0,1,0,0,0,0,0,0,0,1,1,0,us
Adame Services,Data Analyst,Mid-Senior level,1,0,0,0,0,1,0,0,0,1,0,1,0,us
Rantec Power Systems Inc.,Data Analyst,Mid-Senior level,1,0,1,0,0,0,1,0,0,0,0,1,0,us
Estrategia Humana®,Analista de datos,Entry level,0,0,1,0,0,0,0,0,0,0,0,1,0,us
Ripple Logics ,Data Analyst,"Employment type
        

          Contract",1,0,1,0,0,1,0,0,0,0,0,1,0,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Analyst - US/Canada,Entry level,1,0,1,0,0,0,0,0,0,0,1,1,0,us
Torq,Analyst - Data Analysis & Reporting,Mid-Senior level,1,1,1,0,1,1,1,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Entry level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
Stellar Professionals,Cancer Data Analyst //Pay rate: $33.56/hr,Entry level,0,0,1,0,0,1,0,0,0,0,0,1,0,us
WinMax,Data Analyst III,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,1,0,us
Wood Mackenzie,Data Analyst,Associate,1,1,1,0,0,0,0,0,0,0,0,1,0,us
VRK IT Vision Inc.,Data Analyst Associate,Mid-Senior level,1,0,1,0,0,0,0,0,0,0,0,1,0,us
TekIntegral,Data Analyst,Mid-Senior level,1,0,0,0,0,0,0,0,0,0,0,1,0,us
