company,job-title,level,sql,python,excel, r ,", r,",tableau,power bi, ml ,", ml,",machine learning,remote,da,ds,country
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Data Scientist (Entry Level),Entry level,0,1,1,0,0,0,0,0,0,0,1,0,1,us
Idea Evolver,Data Scientist,Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,0,1,us
DLZP Group,Data Scientist - Remote,Entry level,1,1,1,0,0,0,0,0,0,1,1,0,1,us
MarketBridge,Data Scientist - Marketing Analytics,Mid-Senior level,0,1,1,1,0,0,0,0,0,1,0,0,1,us
Pomelo Care,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,0,0,0,1,us
"BasisPath, Inc.",Data Scientist,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,0,1,us
Best Buy,Decision Scientist - People Analytics,Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,us
Goodwill of the Finger Lakes,Data Scientist,Entry level,1,0,1,0,0,1,1,0,0,0,0,0,1,us
Steneral Consulting,"AI/ML, Data Science, and API Integration Engineer/Scientist",Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
Verneek,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,us
Ponce Ai,Machine Learning Ops Engineer at AI image-to-image startup,Entry level,0,1,1,0,0,0,0,1,0,1,0,0,1,us
ShyftLabs,Data Scientist,Not Applicable,1,1,1,1,0,0,0,1,0,1,0,0,1,us
"iBovi - Staffing, Consulting and Recruitment Services",Data Scientist/Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,us
Altamira Technologies Corporation,"Data Scientist, Jr.",Entry level,0,0,0,0,0,0,0,0,0,1,0,0,1,us
ShyftLabs,Data Scientist,Not Applicable,1,1,1,1,0,0,0,1,0,1,1,0,1,us
Delighted,Applied Scientist,Entry level,0,1,1,0,0,0,0,1,0,1,0,0,1,us
UCLA Health,Data Scientist,Entry level,0,0,0,0,0,0,0,0,0,0,0,0,1,us
Gradient Zero,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,1,0,1,us
Key Cyber Solutions,Data Scientist,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,us
Footprint,Statistician / Data Scientist,Mid-Senior level,0,1,1,0,0,1,1,0,0,1,0,0,1,us
Adame Services,Data Science AI/Developer/Python,Entry level,1,1,0,0,1,1,0,0,0,1,1,0,1,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Junior Data Scientist Engineer,Entry level,1,1,1,1,0,0,0,0,0,0,1,0,1,us
Qloo,Data Scientist,Not Applicable,0,1,1,0,0,0,0,1,0,1,1,0,1,us
Kellton,Data Scientist (Remote),Entry level,1,1,0,0,0,0,0,1,0,0,1,0,1,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Python Developer (Entry Level),Entry level,0,1,1,0,0,0,0,0,0,0,1,0,1,us
Pattern Learning AI - Career & Tech Recruitment Reimagined!,Data Scientist (Entry Level),Entry level,0,1,1,0,0,0,0,0,0,0,1,0,1,us
Experfy,Data Scientist,Mid-Senior level,0,1,0,1,0,0,0,0,0,0,1,0,1,us
Ample Insight,Data Scientist,Associate,0,1,0,0,1,0,0,0,0,1,0,0,1,us
AllHere,Data Scientist,"Employment type
        

          Full-time",0,1,0,1,0,0,0,0,0,1,0,0,1,us
Idea Evolver,Data Scientist,Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,0,1,us
DLZP Group,Data Scientist - Remote,Entry level,1,1,1,0,0,0,0,0,0,1,1,0,1,us
Vermillio,Machine Learning Engineer,Mid-Senior level,0,0,1,0,0,0,0,1,0,1,1,0,1,us
Sensorium Therapeutics,Biomedical Research Data Scientist,Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
MarketBridge,Data Scientist - Marketing Analytics,Mid-Senior level,0,1,1,1,0,0,0,0,0,1,0,0,1,us
Pomelo Care,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,0,0,0,1,us
"BasisPath, Inc.",Data Scientist,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,0,1,us
Qualia,Data Scientist,Entry level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
Best Buy,Decision Scientist - People Analytics,Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,us
Stori,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,1,1,0,1,us
Goodwill of the Finger Lakes,Data Scientist,Entry level,1,0,1,0,0,1,1,0,0,0,0,0,1,us
Steneral Consulting,"AI/ML, Data Science, and API Integration Engineer/Scientist",Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
Verneek,Machine Learning Engineer,Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,us
Milwaukee Brewers,Data Scientist,Entry level,0,1,1,0,1,0,0,0,0,0,0,0,1,us
Ponce Ai,Machine Learning Ops Engineer at AI image-to-image startup,Entry level,0,1,1,0,0,0,0,1,0,1,0,0,1,us
UCLA Health,Data Scientist,Entry level,0,1,1,0,0,0,0,0,0,1,0,0,1,us
Acclaim Technical Services,Data Scientist (2023-0136),Mid-Senior level,0,1,0,0,0,0,0,0,0,1,0,0,1,us
Grupo Xcaret,Científico(a) de Datos,Entry level,0,0,0,0,0,0,0,0,0,0,0,0,1,us
"Aperio Global, LLC",Data Scientist,Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
Adame Services,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,1,0,0,1,us
Canacre,Data Scientist - Toronto,Entry level,0,1,1,0,0,0,0,0,0,1,0,0,1,us
Experfy,Data Scientist,Mid-Senior level,0,1,0,1,0,0,0,0,0,0,1,0,1,us
Experfy,Data Scientist,Mid-Senior level,0,1,0,1,0,0,0,0,0,0,1,0,1,us
Ample Insight,Data Scientist,Associate,0,1,0,0,1,0,0,0,0,1,0,0,1,us
AllHere,Data Scientist,"Employment type
        

          Full-time",0,1,0,1,0,0,0,0,0,1,0,0,1,us
Idea Evolver,Data Scientist,Mid-Senior level,1,1,1,0,0,1,1,0,0,1,0,0,1,us
DLZP Group,Data Scientist - Remote,Entry level,1,1,1,0,0,0,0,0,0,1,1,0,1,us
Vermillio,Machine Learning Engineer,Mid-Senior level,0,0,1,0,0,0,0,1,0,1,1,0,1,us
Sensorium Therapeutics,Biomedical Research Data Scientist,Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
MarketBridge,Data Scientist - Marketing Analytics,Mid-Senior level,0,1,1,1,0,0,0,0,0,1,0,0,1,us
Pomelo Care,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,0,0,0,1,us
"BasisPath, Inc.",Data Scientist,Mid-Senior level,1,1,1,0,0,1,0,0,0,0,0,0,1,us
Qualia,Data Scientist,Entry level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
Best Buy,Decision Scientist - People Analytics,Entry level,1,1,0,0,0,0,0,0,0,0,1,0,1,us
Stori,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,0,0,1,1,0,1,us
Goodwill of the Finger Lakes,Data Scientist,Entry level,1,0,1,0,0,1,1,0,0,0,0,0,1,us
Steneral Consulting,"AI/ML, Data Science, and API Integration Engineer/Scientist",Mid-Senior level,1,1,1,0,0,0,0,0,0,1,0,0,1,us
